model,trace_count,good_trace_count,strict_trace_count,tasks_with_good,tasks_with_strict,mean_partial_credit
anthropic/claude-opus-4.6,2400,1536,341,446,120,0.5608108042457924
anthropic/claude-sonnet-4.6,2400,1293,249,424,102,0.4762109320939062
xiaomi/mimo-v2.5-pro,2400,1031,158,390,90,0.39430083421927464
google/gemini-3-flash-preview,2400,826,150,364,86,0.3271530717000554
xiaomi/mimo-v2.5,2400,823,127,375,79,0.32477295124963623
z-ai/glm-5.1,2400,958,169,361,78,0.35930037785748165
openai/gpt-5.4-mini,2400,936,108,356,63,0.3699565475356696
openai/gpt-5.4-nano,2400,640,82,261,47,0.2615888625387151
openai/gpt-5.4,2400,344,68,196,43,0.1306527935502816
nvidia/nemotron-3-super-120b-a12b,2400,467,53,208,40,0.20729892477881273
google/gemini-3.1-pro-preview,2400,314,50,156,31,0.12267237502851495
minimax/minimax-m2.7,2400,139,8,61,5,0.05667008219945597
